x (mm),y (mm),Spec 11000000.0Hz,Spec 12000000.0Hz,Spec 13000000.0Hz
133.17602587500002,35.500008375,(-15349.882060198634-5739.128462800967j),(-6421.143206049939-8322.639399140695j),(-657.1350721272263-7720.064741685315j)
132.935043375,35.500008375,(-15767.049225533301-4486.380274905867j),(-7129.843801597761-7733.873621873894j),(-1385.6864185696882-7624.627897777615j)
132.71725425,35.500008375,(-15361.058845738593-5739.076200493366j),(-6424.670505790152-8330.904312474147j),(-655.5687553259397-7719.694631047194j)
132.486892125,35.500008375,(-15659.438606120533-4841.098136574746j),(-6934.068853887924-7907.868380766264j),(-1179.467367817284-7657.967241167624j)
132.27843750000002,35.500008375,(-15606.613134092699-5028.626715466552j),(-6835.88169140742-7993.746519590608j),(-1076.342059668184-7676.872825289191j)
132.06688725,35.500008375,(-15217.958704151162-6087.6114282706385j),(-6210.6964759335415-8483.428555402777j),(-445.58701287405734-7734.055140939909j)
131.81580825,35.500008375,(-15714.77645477772-4662.382009347034j),(-7031.817961174478-7820.831312754929j),(-1283.9479995228435-7641.406614526979j)
131.58468412500002,35.500008375,(-15771.950819581341-4471.603217941951j),(-7129.196326298319-7729.189255058107j),(-1388.1746961277488-7624.074851666628j)
131.340367875,35.500008375,(-15717.19865805479-4658.323961562109j),(-7030.630654355503-7817.463272324728j),(-1286.3747212811322-7639.641473580777j)
131.13305625,35.500008375,(-15422.574265599316-5562.204939381121j),(-6529.986292608893-8242.988026141978j),(-765.0309920688685-7710.87268114891j)
130.923077625,35.500008375,(-15356.67621790973-5735.7748943699335j),(-6426.924527593075-8323.295201350222j),(-659.6352093625271-7720.292597151123j)
130.67314162500003,35.500008375,(-15714.860693472527-4662.782706927811j),(-7032.702384522177-7814.3630537450135j),(-1288.7820835668754-7639.351731998653j)
130.4305875,35.500008375,(-15825.136332650321-4293.975635144783j),(-7227.381799564924-7639.152581059785j),(-1493.2305051660016-7603.799040840999j)
130.2027495,35.500008375,(-15226.656842482076-6088.631140459305j),(-6213.595560045234-8485.878935960593j),(-449.4489524489335-7737.977100645101j)
129.99310425000002,35.500008375,(-15225.433611240886-6090.122063457993j),(-6214.922896633089-8486.185466845975j),(-449.2177071152041-7737.238337628596j)
129.78641174999998,35.500008375,(-15666.819268515646-4841.468541597452j),(-6939.3974001680235-7906.940317037463j),(-1183.3259914723278-7660.71417370716j)
129.5756235,35.500008375,(-15365.976886304137-5734.042756594741j),(-6427.464990206641-8327.00993677683j),(-658.8530074480166-7724.789817473155j)
129.36578775,35.500008375,(-15361.868523121459-5733.836166489625j),(-6428.623782585977-8325.14088801773j),(-659.572358343948-7721.861792272307j)
129.124376625,35.500008375,(-15549.798031843811-5199.512112552638j),(-6737.139001847412-8078.160106529374j),(-975.8129104043343-7689.143032832901j)
128.9164935,35.500008375,(-15491.546549705923-5382.214260399345j),(-6635.64471719009-8160.37869863296j),(-868.1865419692704-7700.087353912821j)
128.70784837500003,35.500008375,(-15431.030350153902-5561.260455956847j),(-6530.182375940695-8247.026288310015j),(-763.5984716462108-7713.112387310439j)
128.46915187500002,35.500008375,(-15728.92033085884-4657.2103137942795j),(-7037.8178236447375-7822.434819853941j),(-1288.7589685453122-7642.904441477733j)
128.22912187500003,35.500008375,(-15089.732798825582-6430.513116370717j),(-6003.430286833543-8639.35132546803j),(-239.5129205169301-7745.891086740692j)
128.02028625,35.500008375,(-15673.519617034575-4837.189253954773j),(-6937.388429275783-7906.193658099713j),(-1184.7826525654057-7662.226650993905j)
127.785447375,35.500008375,(-15300.845592325808-5909.388561312404j),(-6324.301359393181-8404.184873891794j),(-556.6638387949795-7730.81799429654j)
127.57446862500002,35.500008375,(-15671.95818155715-4838.969081566209j),(-6938.663781337676-7907.746887463094j),(-1185.1380699891097-7660.947077281613j)
127.3642995,35.500008375,(-15725.785431577158-4658.6582407484275j),(-7039.16214501371-7821.889638209586j),(-1286.6052077581571-7642.527828026244j)
127.12541250000001,35.500008375,(-15360.836272632952-5731.509586474537j),(-6428.571496210036-8324.10503384595j),(-661.6037228409829-7720.7166928308325j)
126.91519575000001,35.500008375,(-15431.424845742942-5555.691878732419j),(-6534.614544438662-8247.775226223926j),(-765.7901047295662-7713.500165679898j)
126.70383600000001,35.500008375,(-15488.616128633977-5374.326320527289j),(-6637.549423981695-8157.968414838433j),(-872.2060316692184-7700.651274892691j)
126.49228575000002,35.500008375,(-15299.552340003824-5908.516785755133j),(-6322.889014564978-8407.488958914126j),(-557.1038077785538-7731.416743133178j)
