x (mm),y (mm),rms V
50.1576975,79.99999875,0.01583240249878443
51.752134875,79.99999875,0.015823249800654582
53.550645375,79.99999875,0.015817850548127295
55.348393875000006,79.99999875,0.01579636957975141
57.146142375000004,79.99999875,0.015815596625785133
58.8223995,79.99999875,0.015779951706013182
60.62091,79.99999875,0.015777229978983672
62.4178965,79.99999875,0.015794263510580903
64.215645,79.99999875,0.015797256711856143
66.0126315,79.99999875,0.01575657755739336
67.811142,79.99999875,0.015823315404199387
69.6088905,79.99999875,0.015812281692599957
71.410401375,79.99999875,0.015766167066923416
73.2051495,79.99999875,0.015794585435215062
75.00366,79.99999875,0.015817489606831943
76.7998845,79.99999875,0.015838851518178352
78.599919,79.99999875,0.015836989004731246
80.275414125,79.99999875,0.015823467265131907
82.073162625,79.99999875,0.015785018060685975
83.870911125,79.99999875,0.015790295837360194
85.549406625,79.99999875,0.015832446211914143
87.34791712500001,79.99999875,0.01586472737895568
89.14642762500002,79.99999875,0.015773648618886405
90.82339912500001,79.99999875,0.015795650348809285
92.62043325,79.99999875,0.015779533244085833
94.41894375000001,79.99999875,0.01581167868271399
96.217406625,79.99999875,0.015720282798022785
98.02491825000001,79.99999875,0.0157805011173992
99.81295125,79.99999875,0.01581546596185625
101.61141412500001,79.99999875,0.015824136639733786
103.52841562500001,79.99999875,0.01581009141342485
105.326164125,79.99999875,0.01584726800299674
107.00394525000002,79.99999875,0.01580630102166614
108.80169375000001,79.99999875,0.015777308569630565
110.59868025000002,79.99999875,0.015821014867223558
112.39642875000001,79.99999875,0.01580056445525698
114.19570125,79.99999875,0.01577991028846092
115.99192575000001,79.99999875,0.015824029735437627
117.79043625,79.99999875,0.015798449210946
119.58818475000001,79.99999875,0.015839597915948588
121.38593325000001,79.99999875,0.0158593683145053
123.06447637500001,79.99999875,0.015859013162751557
124.86222487500001,79.99999875,0.015825389669612767
126.659211375,79.99999875,0.015838191864451994
128.336944875,79.99999875,0.015841597238939572
130.13545537500002,79.99999875,0.015864726167587797
131.933203875,79.99999875,0.015772880214393714
133.730190375,79.99999875,0.01585488043125101
135.4079715,79.99999875,0.015818955821467934
137.20572,79.99999875,0.015853032538808435
139.00270650000002,79.99999875,0.015842833116132972
140.685726375,79.99999875,0.015803944487636664
142.47971250000003,79.99999875,0.0158138492934318
144.278223,79.99999875,0.01580731528456568
146.0759715,79.99999875,0.015869674003704835
147.75222862500001,79.99999875,0.015836746846440188
149.550739125,79.99999875,0.015789261609090683
151.34924962500003,79.99999875,0.015769247884776433
153.1477125,79.99999875,0.01580291784351327
154.82697000000002,79.99999875,0.01578488836464623
156.62324212500002,79.99999875,0.015834983635882604
158.421752625,79.99999875,0.015848451890677222
159.966421875,79.99999875,0.015757147908902674
159.9999975,80.23412325000001,0.01575679899219923
159.9999975,81.99139050000001,0.015857320315144932
159.9999975,83.789853375,0.01580674796117829
159.9999975,85.588363875,0.015766737071492534
159.9999975,87.38539800000001,0.015813871173453425
159.9999975,89.186146875,0.015765529371111933
159.9999975,90.860118,0.01581823032835496
159.9999975,92.65939050000001,0.015775725156607193
159.9999975,94.456377,0.015817466517688217
159.9999975,96.257125875,0.015806464595619425
159.9999975,98.052636,0.015750046649872743
159.9999975,99.8503845,0.015845205092980784
159.9999975,101.648133,0.015803810077676273
159.9999975,103.325152125,0.015806274871828077
159.9999975,104.93540100000001,0.01581749385881427
159.84097762500002,104.9999805,0.01580717117795661
158.128573125,104.9999805,0.015794570217838935
156.330062625,104.9999805,0.015769550207664094
154.533076125,104.9999805,0.015769577634178463
152.735327625,104.9999805,0.01577880228055109
150.93757912499998,104.9999805,0.01562043269910875
154.06249350000002,109.999986375,0.015787971618189102
152.348041125,109.999986375,0.015754537550494056
150.550292625,109.999986375,0.01544697909900156
148.75330612500002,109.999986375,0.013784267407635635
142.174579125,114.99999225,0.013334190823865912
143.887840875,114.99999225,0.013356363867197074
145.56486,114.99999225,0.013379833526476573
147.363322875,114.99999225,0.014642239818740169
153.95871862500002,119.999998125,0.015745639921247244
152.245314,119.999998125,0.015740192064473107
150.44756550000002,119.999998125,0.015427906323091913
148.649817,119.999998125,0.013751368160261106
142.0933785,125.000004,0.013336785560962216
143.808307125,125.000004,0.013234014858400471
145.604531625,125.000004,0.013372528572120219
147.403042125,125.000004,0.014804485536963766
153.95667075,130.00000987500002,0.01579109383345225
152.240742,130.00000987500002,0.015728186462247044
150.444469875,130.00000987500002,0.015421950476720703
148.647483375,130.00000987500002,0.013696702002330217
142.05389737500002,135.00001575000002,0.013351362199311038
143.767730625,135.00001575000002,0.013335000291694593
145.565479125,135.00001575000002,0.013354617204560148
147.363989625,135.00001575000002,0.01478023402913981
154.00777237500003,140.000021625,0.015695618349547427
152.293939125,140.000021625,0.015739413477420902
150.49542862500002,140.000021625,0.01549870619872856
148.817695125,140.000021625,0.013897446365383733
142.1783415,145.00002750000002,0.01354821623006876
143.89217475,145.00002750000002,0.013495775576312524
145.57067025,145.00002750000002,0.013622568291684354
147.366942375,145.00002750000002,0.014968682956558968
153.96829125,150.00003337500002,0.015770955670479446
152.373377625,150.00003337500002,0.015729476467855653
150.57639112500001,150.00003337500002,0.015535972121386875
148.777880625,150.00003337500002,0.014049005645360838
142.212964875,155.00003925,0.013691856250586712
143.92665525,155.00003925,0.013715705596331191
145.72440375000002,155.00003925,0.013762947889825183
147.40289925,155.00003925,0.015087771940765481
